Report Type,Class,Submitted Date,Year,Season,Month,State,County
Report,Class A,"Friday, April 7, 2006.",1870,Fall,,California,Stanislaus
Report,Class B,"Friday, June 18, 1999.",1890,Winter,,Wyoming,Sweetwater
Report,Class C,"Tuesday, February 2, 1999.",1905,Summer,,Tennessee,Carroll
Report,Class B,"Thursday, April 17, 1997.",1910,Unknown,,Michigan,Livingston
Report,Class C,"Monday, October 6, 1997.",1920,Spring,,Arkansas,Logan
Report,Class B,"Friday, February 2, 2001.",1920,Unknown,,Arizona,Gila
Report,Class A,"Tuesday, April 11, 2006.",1921,Winter,January,Pennsylvania,Clearfield
Report,Class B,"Wednesday, August 13, 2008.",1925,Fall,,Louisiana,Avoyelles
Report,Class B,"Monday, January 13, 2003.",1926,Unknown,,Colorado,Jackson
Report,Class B,"Friday, October 9, 1998.",1930,Fall,,Texas,Leon
Report,Class B,"Thursday, July 3, 2008.",1932,Unknown,,Missouri,Buchanan
Report,Class A,"Friday, April 7, 2006.",1937,Summer,August,Indiana,Warrick
Report,Class B,"Wednesday, July 17, 1996.",1938,Unknown,,Texas,Ellis
Report,Class B,"Thursday, March 2, 2000.",1940,Unknown,,Colorado,Costilla
Report,Class A,"Saturday, November 14, 1998.",1941,Fall,,Washington,Yakima
Report,Class B,"Saturday, November 27, 1999.",1942,Spring,,Oklahoma,Harmon
Report,Class A,"Saturday, May 12, 2001.",1943,Fall,October,Arkansas,Lonoke
Report,Class A,"Monday, November 18, 2002.",1943,Fall,August,Ohio,Ashland
Report,Class A,"Thursday, July 26, 2001.",1944,Summer,August,California,Siskiyou
Report,Class B,"Tuesday, February 22, 2011.",1944,Summer,July,Michigan,Alger
Report,Class A,"Saturday, October 10, 2015.",1945,Spring,,Illinois,White
Report,Class A,"Saturday, February 10, 2001.",1948,Unknown,,Washington,Clallam
Report,Class A,"Monday, October 27, 2003.",1949,Summer,,Alabama,Madison
Report,Class A,"Thursday, May 27, 2004.",1949,Fall,,Oregon,Coos
Report,Class B,"Saturday, February 25, 2012.",1949,Fall,September,Washington,Okanogan
Report,Class A,"Saturday, March 4, 2000.",1950,Summer,July,California,San Bernardino
Report,Class A,"Friday, January 25, 2002.",1950,Summer,,California,Ventura
Report,Class A,"Sunday, January 19, 2003.",1950,Summer,,Kentucky,Martin
Report,Class A,"Wednesday, October 5, 2011.",1950,Summer,August,Michigan,Otsego
Report,Class A,"Thursday, November 18, 1999.",1950,Summer,,Mississippi,Attala
Report,Class B,"Tuesday, January 2, 2001.",1950,Spring,,Washington,Skamania
Report,Class A,"Thursday, May 8, 2014.",1953,Summer,,Alabama,Henry
Report,Class A,"Saturday, October 28, 2006.",1953,Summer,August,Connecticut,New Haven
Report,Class B,"Saturday, July 4, 2015.",1953,Summer,August,Illinois,Lawrence
Report,Class A,"Monday, January 1, 2001.",1953,Fall,October,Kentucky,Casey
Report,Class B,"Sunday, November 22, 1998.",1954,Unknown,,Missouri,Gasconade
Report,Class A,"Sunday, January 14, 2001.",1955,Fall,August,California,Tulare
Report,Class A,"Saturday, November 12, 2005.",1955,Unknown,,Florida,Hillsborough
Report,Class B,"Tuesday, August 19, 2008.",1955,Unknown,,Tennessee,Lawrence
Report,Class A,"Tuesday, September 17, 2002.",1956,Fall,,California,Nevada
Report,Class A,"Sunday, December 15, 1996.",1956,Fall,October,Missouri,Washington
Report,Class B,"Monday, July 14, 1997.",1956,Unknown,,Ohio,Vinton
Report,Class A,"Saturday, July 2, 2005.",1956,Summer,July,Oregon,Douglas
Report,Class A,"Monday, October 3, 2016.",1957,Winter,,Illinois,Tazewell
Report,Class A,"Saturday, November 8, 2008.",1957,Unknown,,Nebraska,Cherry
Report,Class A,"Wednesday, November 15, 2000.",1957,Summer,July,Virginia,Prince William
Report,Class A,"Wednesday, March 5, 2003.",1958,Summer,June,Alabama,Pickens
Report,Class B,"Saturday, November 18, 2006.",1958,Spring,April,California,Santa Cruz
Report,Class B,"Wednesday, February 25, 2004.",1958,Winter,January,Ohio,Noble
Report,Class A,"Friday, November 21, 2003.",1958,Winter,November,Ohio,Richland
Report,Class A,"Tuesday, December 23, 1997.",1958,Unknown,,Washington,Snohomish
Report,Class B,"Sunday, October 26, 2003.",1959,Fall,October,California,Yuba
Report,Class A,"Monday, May 25, 1998.",1960,Unknown,,Kansas,Jackson
Report,Class A,"Friday, August 25, 2006.",1960,Summer,August,Missouri,Pemiscot
Report,Class B,"Thursday, August 3, 2017.",1960,Summer,August,New York,Onondaga
Report,Class A,"Friday, January 26, 2001.",1960,Summer,July,Washington,Mason
Report,Class A,"Monday, October 27, 2003.",1961,Fall,,Arkansas,Lee
Report,Class B,"Monday, November 4, 2002.",1961,Spring,April,California,Humboldt
Report,Class B,"Tuesday, January 4, 2011.",1961,Spring,March,Florida,Citrus
Report,Class A,"Friday, March 28, 2003.",1961,Fall,September,Georgia,Fulton
Report,Class A,"Tuesday, November 1, 2005.",1961,Summer,July,Pennsylvania,Adams
Report,Class B,"Monday, October 5, 1998.",1961,Winter,December,Washington,Spokane
Report,Class A,"Sunday, December 30, 2012.",1961,Summer,June,West Virginia,Wayne
Report,Class A,"Saturday, November 8, 2008.",1962,Summer,August,California,Stanislaus
Report,Class A,"Thursday, October 12, 2000.",1962,Summer,August,Florida,Charlotte
Report,Class A,"Friday, December 31, 2010.",1962,Spring,March,Michigan,Kalkaska
Report,Class A,"Thursday, July 24, 2008.",1962,Spring,April,Michigan,Schoolcraft
Report,Class A,"Tuesday, February 18, 1997.",1962,Spring,April,North Dakota,Ward
Report,Class A,"Wednesday, December 8, 2004.",1962,Spring,,Utah,Weber
Report,Class A,"Friday, September 26, 2003.",1963,Summer,August,California,Humboldt
Report,Class A,"Sunday, February 4, 2001.",1963,Spring,March,California,Mariposa
Report,Class A,"Tuesday, July 13, 1999.",1963,Summer,,California,Mendocino
Report,Class B,"Tuesday, January 13, 2004.",1963,Summer,August,California,San Bernardino
Report,Class B,"Tuesday, March 13, 2001.",1963,Winter,December,California,Tuolumne
Report,Class B,"Saturday, April 28, 2001.",1963,Winter,January,California,Tuolumne
Report,Class B,"Saturday, April 28, 2001.",1963,Winter,January,California,Tuolumne
Report,Class A,"Monday, August 26, 2013.",1963,Unknown,,Florida,Alachua
Report,Class B,"Thursday, October 2, 2003.",1963,Spring,,Florida,Lee
Report,Class A,"Monday, March 29, 2004.",1963,Summer,July,Georgia,Glynn
Report,Class A,"Thursday, August 14, 2003.",1963,Summer,June,Idaho,Latah
Report,Class A,"Sunday, January 26, 2003.",1963,Spring,June,Idaho,Owyhee
Report,Class A,"Saturday, June 20, 1998.",1963,Summer,,Michigan,Dickinson
Report,Class A,"Monday, October 6, 2003.",1963,Summer,July,Ohio,Ashland
Report,Class A,"Saturday, October 16, 2004.",1963,Fall,October,Pennsylvania,McKean
Report,Class A,"Tuesday, January 2, 2001.",1963,Fall,October,Texas,Smith
Report,Class A,"Tuesday, November 12, 2002.",1963,Spring,,Washington,Jefferson
Report,Class A,"Thursday, December 4, 1997.",1964,Fall,September,Alaska,Fairbanks
Report,Class A,"Saturday, March 6, 2004.",1964,Unknown,,California,Humboldt
Report,Class B,"Friday, September 26, 2003.",1964,Winter,November,California,Trinity
Report,Class A,"Monday, September 1, 2008.",1964,Summer,August,California,Ventura
Report,Class A,"Thursday, July 20, 2006.",1964,Summer,August,Colorado,Boulder
Report,Class B,"Sunday, May 20, 2001.",1964,Summer,August,Colorado,Gunnison
Report,Class A,"Wednesday, August 10, 2011.",1964,Fall,November,Illinois,Douglas
Report,Class B,"Monday, June 15, 1998.",1964,Summer,,South Carolina,Hampton
Report,Class B,"Thursday, November 28, 2002.",1964,Fall,,South Carolina,Richland
Report,Class B,"Monday, June 28, 1999.",1964,Unknown,,Texas,Ellis
Report,Class A,"Sunday, November 9, 1997.",1964,Unknown,,Texas,Polk
Report,Class B,"Sunday, August 8, 2010.",1964,Summer,,Utah,Salt Lake
Report,Class A,"Friday, September 26, 2003.",1965,Summer,July,California,Humboldt
Report,Class A,"Sunday, August 22, 2004.",1965,Summer,July,California,Sutter
Report,Class B,"Wednesday, May 1, 2002.",1965,Summer,June,Georgia,Richmond
Report,Class B,"Tuesday, March 19, 2013.",1965,Fall,October,Illinois,Ogle
Report,Class A,"Friday, June 29, 2007.",1965,Summer,July,Michigan,Dickinson
Report,Class A,"Wednesday, January 15, 2003.",1965,Summer,July,Michigan,Huron
Report,Class A,"Sunday, March 11, 2001.",1965,Fall,October,North Carolina,Onslow
Report,Class A,"Sunday, September 23, 2001.",1965,Summer,July,Washington,Kittitas
Report,Class A,"Friday, May 16, 2003.",1965,Summer,August,Washington,Yakima
Report,Class A,"Thursday, February 12, 2009.",1965,Summer,August,Wisconsin,Oneida
Report,Class A,"Saturday, February 21, 2004.",1966,Summer,August,California,Mendocino
Report,Class A,"Friday, January 26, 2001.",1966,Fall,,California,Siskiyou
Report,Class A,"Friday, June 30, 2000.",1966,Summer,July,California,Siskiyou
Report,Class B,"Tuesday, March 28, 2006.",1966,Fall,,Missouri,Platte
Report,Class A,"Wednesday, October 18, 2006.",1966,Summer,August,New Jersey,Monmouth
Report,Class B,"Wednesday, December 26, 2007.",1966,Winter,,New York,Fulton
Report,Class A,"Thursday, March 15, 2012.",1966,Summer,August,Oklahoma,Tulsa
Report,Class B,"Wednesday, February 15, 2006.",1966,Spring,,Washington,Clallam
Report,Class A,"Monday, March 3, 2014.",1967,Summer,,Alabama,Tallapoosa
Report,Class A,"Thursday, January 1, 1998.",1967,Fall,October,California,Del Norte
Report,Class A,"Thursday, August 11, 2005.",1967,Spring,March,California,Siskiyou
Report,Class A,"Wednesday, February 21, 2001.",1967,Summer,July,Idaho,Bonner
Report,Class A,"Tuesday, September 9, 2014.",1967,Spring,August,Illinois,Cook
Report,Class B,"Saturday, June 26, 1999.",1967,Winter,January,Indiana,Fountain
Report,Class A,"Friday, January 24, 2014.",1967,Fall,,Michigan,Midland
Report,Class A,"Friday, June 10, 2011.",1967,Spring,May,Michigan,Presque Isle
Report,Class A,"Tuesday, August 12, 2008.",1967,Summer,July,Missouri,Howell
Report,Class A,"Friday, April 6, 2007.",1967,Fall,September,North Carolina,Davidson
Report,Class B,"Wednesday, January 21, 2004.",1967,Summer,,Ohio,Lorain
Report,Class A,"Thursday, June 5, 2008.",1967,Summer,September,Pennsylvania,Westmoreland
Report,Class A,"Friday, March 16, 2001.",1967,Spring,March,Washington,Benton
Report,Class B,"Sunday, December 1, 1996.",1967,Fall,,Washington,Lewis
Report,Class B,"Sunday, December 1, 1996.",1967,Fall,,Washington,Lewis
Report,Class A,"Sunday, November 15, 1998.",1967,Fall,,Washington,Skamania
Report,Class A,"Tuesday, October 7, 1997.",1967,Summer,August,Washington,Thurston
Report,Class B,"Thursday, November 20, 2008.",1967,Summer,August,Wisconsin,Menominee
Report,Class B,"Friday, November 10, 2000.",1968,Fall,,California,Calaveras
Report,Class A,"Saturday, March 29, 1997.",1968,Summer,July,California,Fresno
Report,Class A,"Friday, July 27, 2001.",1968,Fall,November,California,San Diego
Report,Class A,"Saturday, December 2, 2000.",1968,Fall,November,Connecticut,Litchfield
Report,Class B,"Friday, December 26, 1997.",1968,Summer,,Idaho,Bear Lake
Report,Class B,"Thursday, November 14, 2013.",1968,Spring,,Illinois,Calhoun
Report,Class A,"Friday, November 4, 2005.",1968,Fall,September,Illinois,Cook
Report,Class C,"Saturday, August 10, 1968.",1968,Summer,August,Illinois,Williamson
Report,Class A,"Tuesday, June 24, 2003.",1968,Summer,July,Indiana,Spencer
Report,Class B,"Friday, November 16, 2012.",1968,Fall,November,Michigan,Roscommon
Report,Class A,"Sunday, May 24, 1998.",1968,Unknown,,Mississippi,Lowndes
Report,Class B,"Thursday, September 25, 2003.",1968,Fall,,North Carolina,Greene
Report,Class A,"Sunday, March 1, 1998.",1968,Summer,,Ohio,Licking
Report,Class B,"Monday, February 10, 2003.",1968,Summer,,Oregon,Hood River
Report,Class A,"Friday, November 13, 1998.",1968,Unknown,,Oregon,Josephine
Report,Class A,"Wednesday, May 16, 2007.",1968,Summer,August,Pennsylvania,Bucks
Report,Class B,"Friday, January 27, 2006.",1968,Summer,July,South Carolina,Spartanburg
Report,Class A,"Wednesday, August 25, 1999.",1968,Fall,October,Texas,Angelina
Report,Class A,"Monday, August 24, 1998.",1968,Fall,,Utah,Weber
Report,Class B,"Sunday, December 12, 1999.",1968,Summer,August,Washington,Chelan
Report,Class A,"Tuesday, March 13, 2001.",1969,Summer,August,Arkansas,Little River
Report,Class B,"Friday, August 3, 2001.",1969,Fall,September,California,Humboldt
Report,Class A,"Sunday, February 6, 2005.",1969,Fall,October,Idaho,Bonner
Report,Class A,"Monday, August 5, 2002.",1969,Summer,August,Idaho,Valley
Report,Class A,"Wednesday, January 12, 2011.",1969,Summer,August,Illinois,Fulton
Report,Class B,"Saturday, November 7, 2015.",1969,Summer,July,Illinois,Fulton
Report,Class B,"Saturday, November 7, 2015.",1969,Summer,July,Illinois,Fulton
Report,Class A,"Friday, July 11, 2008.",1969,Summer,September,Illinois,Rock Island
Report,Class A,"Friday, December 21, 2007.",1969,Summer,,Missouri,Scott
Report,Class A,"Monday, April 23, 2001.",1969,Fall,October,New Jersey,Middlesex
Report,Class A,"Saturday, January 3, 1998.",1969,Winter,,New York,Cortland
Report,Class B,"Friday, March 3, 2000.",1969,Summer,July,New York,Hamilton
Report,Class B,"Monday, February 2, 1998.",1969,Summer,August,Oregon,Curry
Report,Class A,"Friday, January 1, 1999.",1969,Spring,March,Oregon,Washington
Report,Class A,"Friday, September 18, 1998.",1969,Summer,,Pennsylvania,Greene
Report,Class C,"Wednesday, January 13, 1999.",1969,Summer,,Tennessee,Montgomery
Report,Class A,"Thursday, April 13, 2006.",1969,Summer,July,Texas,Palo Pinto
Report,Class A,"Tuesday, December 10, 2002.",1969,Fall,November,Washington,Lewis
Report,Class A,"Tuesday, December 10, 2002.",1969,Fall,November,Washington,Lewis
Report,Class B,"Sunday, April 13, 1997.",1969,Winter,March,Washington,Skamania
Report,Class A,"Monday, April 14, 1997.",1969,Winter,March,Washington,Skamania
Report,Class A,"Thursday, August 14, 2008.",1969,Fall,August,West Virginia,McDowell
Report,Class A,"Thursday, April 14, 2011.",1969,Fall,November,West Virginia,Pocahontas
Report,Class A,"Tuesday, August 7, 2001.",1970,Summer,June,Arkansas,Madison
Report,Class B,"Thursday, May 6, 1999.",1970,Summer,,California,Inyo
Report,Class B,"Tuesday, June 30, 1992.",1970,Summer,September,California,San Diego
Report,Class B,"Wednesday, August 16, 2006.",1970,Summer,August,California,Shasta
Report,Class A,"Thursday, January 1, 1998.",1970,Fall,October,Colorado,Routt
Report,Class B,"Thursday, April 3, 2014.",1970,Fall,September,Iowa,Clayton
Report,Class A,"Thursday, September 16, 1999.",1970,Summer,,Iowa,Clayton
Report,Class A,"Wednesday, March 27, 2002.",1970,Fall,November,Iowa,Fayette
Report,Class B,"Monday, November 20, 2006.",1970,Summer,,Iowa,Woodbury
Report,Class A,"Sunday, February 8, 2015.",1970,Fall,November,Illinois,Will
Report,Class A,"Tuesday, December 13, 2016.",1970,Spring,May,Louisiana,Jefferson
Report,Class A,"Wednesday, August 30, 2000.",1970,Summer,,Maryland,Washington
Report,Class A,"Monday, June 2, 2008.",1970,Fall,September,Michigan,Baraga
Report,Class A,"Tuesday, January 11, 2011.",1970,Fall,November,Minnesota,Itasca
Report,Class A,"Saturday, October 14, 2000.",1970,Summer,July,New Jersey,Hunterdon
Report,Class A,"Monday, November 13, 2000.",1970,Summer,August,New Jersey,Ocean
Report,Class B,"Tuesday, January 21, 2003.",1970,Fall,September,Nevada,Washoe
Report,Class B,"Friday, October 13, 2000.",1970,Summer,,New York,Madison
Report,Class B,"Friday, December 31, 1999.",1970,Fall,November,Ohio,Portage
Report,Class B,"Monday, April 6, 2009.",1970,Winter,November,Oregon,Douglas
Report,Class A,"Monday, August 27, 2001.",1970,Fall,October,Oregon,Hood River
Report,Class B,"Friday, March 14, 2003.",1970,Summer,,Oregon,Linn
Report,Class B,"Saturday, November 12, 2005.",1970,Summer,July,Oregon,Multnomah
Report,Class A,"Thursday, January 26, 2006.",1970,Summer,June,South Carolina,Charleston
Report,Class B,"Thursday, February 16, 2017.",1970,Winter,December,Tennessee,Cumberland
Report,Class A,"Monday, April 21, 2008.",1970,Spring,April,Tennessee,Sevier
Report,Class B,"Sunday, January 6, 2013.",1970,Summer,July,Utah,Salt Lake
Report,Class A,"Tuesday, May 22, 2012.",1970,Spring,May,Virginia,Loudoun
Report,Class A,"Thursday, August 21, 2008.",1970,Summer,September,Virginia,Shenandoah
Report,Class B,"Wednesday, July 17, 2002.",1970,Summer,,Washington,Cowlitz
Report,Class B,"Wednesday, May 5, 1999.",1970,Summer,,Washington,King
Report,Class B,"Tuesday, May 29, 2001.",1970,Spring,April,Washington,King
Report,Class B,"Sunday, March 4, 2001.",1970,Winter,November,Washington,Kittitas
Report,Class B,"Wednesday, January 6, 2016.",1970,Fall,October,Washington,Okanogan
Report,Class A,"Monday, March 29, 2004.",1970,Fall,October,Washington,Pierce
Report,Class B,"Tuesday, March 13, 2001.",1971,Summer,August,California,Tuolumne
Report,Class B,"Sunday, January 14, 2001.",1971,Fall,October,Colorado,Boulder
Report,Class A,"Saturday, January 5, 2002.",1971,Fall,September,Colorado,Chaffee
Report,Class A,"Wednesday, October 25, 2000.",1971,Summer,,Colorado,Larimer
Report,Class B,"Saturday, January 31, 1998.",1971,Summer,,Kentucky,Jefferson
Report,Class A,"Sunday, January 27, 2008.",1971,Fall,September,Louisiana,Calcasieu
Report,Class A,"Friday, February 22, 2008.",1971,Fall,November,Louisiana,Webster
Report,Class A,"Wednesday, June 27, 2007.",1971,Summer,July,Michigan,Baraga
Report,Class A,"Monday, October 22, 2012.",1971,Fall,November,Missouri,Dent
Report,Class A,"Friday, January 5, 2001.",1971,Summer,June,Missouri,Oregon
Report,Class B,"Monday, December 1, 2014.",1971,Summer,July,Montana,Stillwater
Report,Class A,"Friday, December 17, 2004.",1971,Fall,October,New Jersey,Essex
Report,Class A,"Tuesday, April 27, 1999.",1971,Summer,June,Ohio,Columbiana
Report,Class A,"Sunday, August 9, 1998.",1971,Summer,,Ohio,Washington
Report,Class B,"Friday, July 27, 2001.",1971,Fall,October,Oklahoma,Le Flore
Report,Class A,"Tuesday, November 7, 2000.",1971,Summer,June,Oregon,Clackamas
Report,Class A,"Sunday, February 22, 2009.",1971,Fall,,Oregon,Coos
Report,Class A,"Thursday, May 18, 2006.",1971,Fall,,Pennsylvania,Allegheny
Report,Class A,"Saturday, January 4, 2003.",1971,Spring,,Pennsylvania,Lycoming
Report,Class B,"Monday, June 20, 2005.",1971,Winter,March,Washington,Pierce
Report,Class A,"Sunday, July 11, 1999.",1971,Summer,August,Washington,Skamania
Report,Class B,"Tuesday, February 19, 2013.",1971,Fall,October,Washington,Snohomish
Report,Class A,"Thursday, November 5, 1998.",1972,Fall,,Arkansas,Baxter
Report,Class B,"Monday, June 23, 2008.",1972,Winter,,Arizona,Cochise
Report,Class A,"Sunday, February 25, 2001.",1972,Summer,,Arizona,Mohave
Report,Class A,"Thursday, April 15, 2004.",1972,Summer,September,California,Inyo
Report,Class B,"Monday, August 7, 2000.",1972,Summer,July,California,Trinity
Report,Class A,"Friday, June 2, 2000.",1972,Spring,April,Colorado,Park
Report,Class A,"Wednesday, September 23, 1998.",1972,Fall,,Colorado,Weld
Report,Class A,"Monday, November 12, 2012.",1972,Summer,July,Florida,Seminole
Report,Class B,"Thursday, July 6, 2006.",1972,Fall,October,Idaho,Benewah
Report,Class A,"Monday, October 25, 2010.",1972,Fall,October,Illinois,Adams
Report,Class C,"Thursday, December 18, 1997.",1972,Fall,September,Illinois,Marion
Report,Class A,"Tuesday, October 13, 1998.",1972,Fall,October,Kentucky,Logan
Report,Class A,"Thursday, September 17, 2009.",1972,Fall,,Kentucky,Magoffin
Report,Class A,"Tuesday, January 6, 2004.",1972,Fall,October,Louisiana,Jefferson Davis
Report,Class B,"Friday, December 21, 2001.",1972,Winter,February,Michigan,Luce
Report,Class B,"Thursday, January 15, 1998.",1972,Summer,,Michigan,Marquette
Report,Class A,"Wednesday, July 18, 2001.",1972,Fall,November,Michigan,Midland
Report,Class A,"Sunday, February 17, 2002.",1972,Fall,August,Minnesota,Pine
Report,Class A,"Sunday, June 28, 1998.",1972,Summer,September,Minnesota,Washington
Report,Class A,"Friday, November 26, 1999.",1972,Summer,July,Missouri,Pike
Report,Class B,"Monday, February 3, 2003.",1972,Summer,August,Nevada,Washoe
Report,Class A,"Wednesday, January 22, 2003.",1972,Summer,August,Nevada,Washoe
Report,Class B,"Thursday, December 17, 2009.",1972,Fall,October,New York,Oneida
Report,Class B,"Wednesday, July 31, 2019.",1972,Winter,January,Ohio,Gallia
Report,Class A,"Sunday, March 21, 1999.",1972,Summer,,Ohio,Mahoning
Report,Class A,"Thursday, February 10, 2005.",1972,Summer,July,Oklahoma,Pittsburg
Report,Class B,"Saturday, July 13, 2013.",1972,Summer,July,Oregon,Wallowa
Report,Class A,"Thursday, December 18, 1997.",1972,Fall,,Pennsylvania,Clarion
Report,Class B,"Saturday, July 15, 1972.",1972,Summer,July,Texas,Burleson
Report,Class A,"Sunday, May 23, 2010.",1972,Summer,,Texas,Ellis
Report,Class A,"Monday, December 29, 2003.",1972,Summer,,Texas,Pecos
Report,Class A,"Monday, January 9, 2012.",1972,Summer,July,Texas,Smith
Report,Class B,"Friday, February 2, 2001.",1972,Summer,August,Washington,Cowlitz
Report,Class A,"Sunday, January 14, 2001.",1972,Summer,August,Washington,Grays Harbor
Report,Class A,"Saturday, July 1, 2000.",1972,Spring,May,Washington,Skamania
Report,Class A,"Monday, February 3, 2003.",1972,Summer,August,Washington,Whatcom
Report,Class A,"Tuesday, February 28, 2017.",1973,Spring,April,Arkansas,Grant
Report,Class A,"Tuesday, August 12, 2008.",1973,Winter,December,Arizona,Coconino
Report,Class B,"Sunday, August 16, 1998.",1973,Fall,September,California,Fresno
Report,Class A,"Sunday, July 22, 2001.",1973,Spring,May,Florida,Collier
Report,Class B,"Sunday, July 11, 2010.",1973,Summer,,Iowa,Johnson
Report,Class A,"Friday, November 2, 2001.",1973,Fall,August,Idaho,Valley
Report,Class A,"Monday, November 16, 2009.",1973,Spring,May,Illinois,Kankakee
Report,Class A,"Monday, January 16, 2012.",1973,Summer,June,Illinois,Knox
Report,Class C,"Wednesday, June 6, 1973.",1973,Summer,June,Illinois,Madison
Report,Class B,"Saturday, November 9, 2013.",1973,Summer,June,Illinois,Randolph
Report,Class A,"Thursday, March 27, 2003.",1973,Summer,September,Indiana,Hamilton
Report,Class A,"Tuesday, February 8, 2005.",1973,Summer,July,Indiana,Hamilton
Report,Class A,"Monday, January 3, 2005.",1973,Summer,,Indiana,Shelby
Report,Class A,"Tuesday, August 1, 1995.",1973,Summer,,Kentucky,Madison
Report,Class B,"Saturday, September 28, 2002.",1973,Spring,April,Louisiana,Claiborne
Report,Class A,"Thursday, January 1, 1998.",1973,Summer,July,Maine,Cumberland
Report,Class B,"Saturday, January 13, 2001.",1973,Summer,August,Minnesota,St. Louis
Report,Class B,"Monday, December 28, 2015.",1973,Summer,July,Missouri,Camden
Report,Class B,"Tuesday, October 8, 2002.",1973,Spring,April,Missouri,Pike
Report,Class A,"Tuesday, May 27, 1997.",1973,Winter,,Mississippi,Amite
Report,Class B,"Friday, May 4, 2001.",1973,Fall,,Mississippi,Jackson
Report,Class A,"Thursday, September 17, 1998.",1973,Fall,,North Carolina,Macon
Report,Class B,"Thursday, April 5, 2001.",1973,Summer,July,New York,Orange
Report,Class A,"Monday, February 20, 2006.",1973,Summer,August,New York,Otsego
Report,Class A,"Saturday, February 4, 2012.",1973,Summer,August,Ohio,Columbiana
Report,Class A,"Sunday, November 14, 2004.",1973,Fall,September,Oklahoma,Washita
Report,Class A,"Monday, December 15, 2003.",1973,Fall,November,Oregon,Grant
Report,Class A,"Thursday, November 12, 2009.",1973,Summer,September,Pennsylvania,McKean
Report,Class A,"Saturday, April 14, 2007.",1973,Fall,November,Virginia,Botetourt
Report,Class A,"Tuesday, March 18, 2008.",1973,Summer,,Virginia,Fairfax
Report,Class A,"Sunday, June 27, 1999.",1973,Spring,,Washington,King
Report,Class A,"Wednesday, February 21, 2001.",1973,Spring,May,Washington,Kitsap
Report,Class A,"Saturday, August 12, 2017.",1973,Summer,July,Washington,Skagit
Report,Class B,"Friday, May 17, 2002.",1973,Fall,October,Washington,Snohomish
Report,Class B,"Monday, January 25, 1999.",1973,Summer,August,Washington,Thurston
Report,Class A,"Tuesday, February 13, 2001.",1974,Fall,October,California,Los Angeles
Report,Class A,"Saturday, January 24, 2004.",1974,Summer,September,California,Mendocino
Report,Class A,"Wednesday, December 6, 2000.",1974,Summer,July,California,Modoc
Report,Class A,"Wednesday, August 3, 2005.",1974,Spring,April,California,Monterey
Report,Class A,"Tuesday, July 13, 2010.",1974,Summer,,California,San Luis Obispo
Report,Class A,"Wednesday, April 16, 2014.",1974,Summer,July,Florida,Broward
Report,Class B,"Wednesday, May 26, 2010.",1974,Winter,December,Florida,Lake
Report,Class B,"Monday, June 23, 2014.",1974,Summer,,Florida,Palm Beach
Report,Class A,"Friday, June 3, 2005.",1974,Fall,September,Florida,Polk
Report,Class A,"Thursday, October 12, 2000.",1974,Summer,June,Georgia,Douglas
Report,Class B,"Saturday, February 7, 1998.",1974,Spring,March,Georgia,Gwinnett
Report,Class B,"Thursday, November 27, 2003.",1974,Fall,November,Georgia,Walker
Report,Class B,"Tuesday, December 7, 2004.",1974,Fall,September,Idaho,Idaho
Report,Class A,"Friday, May 23, 2003.",1974,Summer,June,Idaho,Nez Perce
Report,Class B,"Wednesday, May 14, 2014.",1974,Summer,July,Illinois,Cook
Report,Class B,"Tuesday, August 16, 2016.",1974,Fall,,Illinois,Marshall
Report,Class A,"Wednesday, February 16, 2005.",1974,Fall,November,Kansas,Coffey
Report,Class B,"Thursday, December 7, 2000.",1974,Spring,June,Maine,York
Report,Class A,"Monday, January 3, 2005.",1974,Fall,September,Michigan,Calhoun
Report,Class A,"Tuesday, December 5, 2000.",1974,Fall,November,Michigan,Isabella
Report,Class B,"Thursday, August 28, 2008.",1974,Summer,July,Michigan,Washtenaw
Report,Class A,"Tuesday, October 12, 2004.",1974,Fall,September,Missouri,Greene
Report,Class A,"Saturday, July 4, 1998.",1974,Fall,,Nebraska,Gage
Report,Class A,"Tuesday, August 14, 2007.",1974,Fall,October,Nebraska,Holt
Report,Class A,"Thursday, March 25, 1999.",1974,Fall,October,Ohio,Auglaize
Report,Class B,"Monday, March 27, 2006.",1974,Spring,,Ohio,Ottawa
Report,Class A,"Tuesday, July 22, 2003.",1974,Fall,November,Oklahoma,Seminole
Report,Class B,"Saturday, December 28, 1996.",1974,Fall,September,Oregon,Clackamas
Report,Class A,"Sunday, April 9, 2000.",1974,Summer,June,Oregon,Clackamas
Report,Class A,"Friday, February 3, 2006.",1974,Fall,November,Oregon,Curry
Report,Class B,"Thursday, January 25, 2001.",1974,Fall,October,Oregon,Hood River
Report,Class B,"Tuesday, September 5, 2006.",1974,Summer,August,Oregon,Umatilla
Report,Class A,"Wednesday, June 20, 2001.",1974,Summer,August,Pennsylvania,Fayette
Report,Class A,"Monday, June 16, 2003.",1974,Fall,September,Rhode Island,Washington
Report,Class A,"Thursday, April 28, 2005.",1974,Spring,April,South Carolina,Horry
Report,Class B,"Monday, April 18, 2005.",1974,Spring,,Tennessee,Gibson
Report,Class A,"Friday, May 4, 2001.",1974,Spring,March,Texas,Cherokee
Report,Class A,"Wednesday, August 20, 2008.",1974,Fall,October,Washington,King
Report,Class B,"Tuesday, January 21, 2014.",1974,Fall,August,Washington,Snohomish
